"date","field","plant","shoot","diameter"
2017-06-12,"B","1","1",1.89
2017-06-12,"B","1","2",2.07
2017-06-12,"B","1","3",2.17
2017-06-12,"B","1","4",1.94
2017-06-12,"B","1","5",1.79
2017-06-12,"B","1","6",1.88
2017-06-12,"B","1","7",1.87
2017-06-12,"B","2","1",1.83
2017-06-12,"B","2","2",2.22
2017-06-12,"B","2","3",1.71
2017-06-12,"B","2","4",1.65
2017-06-12,"B","2","5",2.12
2017-06-12,"B","2","6",1.86
2017-06-12,"B","2","7",2.03
2017-06-12,"B","3","1",1.85
2017-06-12,"B","3","2",2.22
2017-06-12,"B","3","3",1.96
2017-06-12,"B","3","4",1.89
2017-06-12,"B","3","5",2.27
2017-06-12,"B","3","6",2.01
2017-06-12,"B","3","7",2.82
2017-06-12,"B","4","1",1.64
2017-06-12,"B","4","2",1.94
2017-06-12,"B","4","3",1.74
2017-06-12,"B","4","4",1.84
2017-06-12,"B","4","5",2.03
2017-06-12,"B","4","6",2.38
2017-06-12,"B","4","7",2.2
2017-06-12,"B","5","1",2.05
2017-06-12,"B","5","2",2.4
2017-06-12,"B","5","3",2.18
2017-06-12,"B","5","4",2.04
2017-06-12,"B","5","5",2.08
2017-06-12,"B","5","6",1.62
2017-06-12,"B","5","7",1.96
2017-06-12,"B","6","1",2.44
2017-06-12,"B","6","2",1.73
2017-06-12,"B","6","3",2.45
2017-06-12,"B","6","4",1.72
2017-06-12,"B","6","5",2.48
2017-06-12,"B","6","6",2.02
2017-06-12,"B","6","7",1.62
2017-06-12,"B","7","1",1.89
2017-06-12,"B","7","2",1.84
2017-06-12,"B","7","3",1.47
2017-06-12,"B","7","4",1.5
2017-06-12,"B","7","5",1.98
2017-06-12,"B","7","6",1.67
2017-06-12,"B","7","7",1.52
2017-06-12,"B","8","1",2.34
2017-06-12,"B","8","2",2.26
2017-06-12,"B","8","3",1.86
2017-06-12,"B","8","4",2.07
2017-06-12,"B","8","5",2.07
2017-06-12,"B","8","6",1.45
2017-06-12,"B","8","7",2.23
2017-06-12,"B","9","1",2.28
2017-06-12,"B","9","2",1.64
2017-06-12,"B","9","3",1.73
2017-06-12,"B","9","4",1.75
2017-06-12,"B","9","5",1.88
2017-06-12,"B","9","6",1.74
2017-06-12,"B","9","7",2.25
2017-06-12,"B","10","1",1.76
2017-06-12,"B","10","2",1.8
2017-06-12,"B","10","3",2.72
2017-06-12,"B","10","4",1.95
2017-06-12,"B","10","5",2.3
2017-06-12,"B","10","6",1.4
2017-06-12,"B","10","7",2.32
2017-06-09,"A","1","1",2.64
2017-06-09,"A","1","2",2.45
2017-06-09,"A","1","3",2.51
2017-06-09,"A","1","4",2.6
2017-06-09,"A","1","5",1.99
2017-06-09,"A","1","6",1.48
2017-06-09,"A","1","7",1.52
2017-06-09,"A","2","1",2.05
2017-06-09,"A","2","2",2.32
2017-06-09,"A","2","3",1.85
2017-06-09,"A","2","4",2.03
2017-06-09,"A","2","5",1.89
2017-06-09,"A","2","6",NA
2017-06-09,"A","2","7",2.29
2017-06-09,"A","3","1",2.37
2017-06-09,"A","3","2",2.01
2017-06-09,"A","3","3",1.58
2017-06-09,"A","3","4",1.56
2017-06-09,"A","3","5",2.16
2017-06-09,"A","3","6",2
2017-06-09,"A","3","7",2
2017-06-09,"A","4","1",1.75
2017-06-09,"A","4","2",1.8
2017-06-09,"A","4","3",2.55
2017-06-09,"A","4","4",1.9
2017-06-09,"A","4","5",1.93
2017-06-09,"A","4","6",1.88
2017-06-09,"A","4","7",2.27
2017-06-09,"A","5","1",1.79
2017-06-09,"A","5","2",1.85
2017-06-09,"A","5","3",1.79
2017-06-09,"A","5","4",2.22
2017-06-09,"A","5","5",1.58
2017-06-09,"A","5","6",2.14
2017-06-09,"A","5","7",1.82
2017-06-09,"A","6","1",2.24
2017-06-09,"A","6","2",1.73
2017-06-09,"A","6","3",2.57
2017-06-09,"A","6","4",1.81
2017-06-09,"A","6","5",1.77
2017-06-09,"A","6","6",1.73
2017-06-09,"A","6","7",1.55
2017-06-09,"A","7","1",1.21
2017-06-09,"A","7","2",2.3
2017-06-09,"A","7","3",1.74
2017-06-09,"A","7","4",2.16
2017-06-09,"A","7","5",1.79
2017-06-09,"A","7","6",2.14
2017-06-09,"A","7","7",1.58
2017-06-09,"A","8","1",1.92
2017-06-09,"A","8","2",1.61
2017-06-09,"A","8","3",1.55
2017-06-09,"A","8","4",2.14
2017-06-09,"A","8","5",2.06
2017-06-09,"A","8","6",1.48
2017-06-09,"A","8","7",1.62
2017-06-09,"A","9","1",2.07
2017-06-09,"A","9","2",2.23
2017-06-09,"A","9","3",1.99
2017-06-09,"A","9","4",1.82
2017-06-09,"A","9","5",1.78
2017-06-09,"A","9","6",1.84
2017-06-09,"A","9","7",1.7
2017-06-09,"A","10","1",2.15
2017-06-09,"A","10","2",1.54
2017-06-09,"A","10","3",2.09
2017-06-09,"A","10","4",1.82
2017-06-09,"A","10","5",2.29
2017-06-09,"A","10","6",2.11
2017-06-09,"A","10","7",1.92
2017-06-08,"B","1","1",1.8
2017-06-08,"B","1","2",1.8
2017-06-08,"B","1","3",1.8
2017-06-08,"B","1","4",1.7
2017-06-08,"B","1","5",1.5
2017-06-08,"B","1","6",1.7
2017-06-08,"B","1","7",1.9
2017-06-08,"B","2","1",1.6
2017-06-08,"B","2","2",2.4
2017-06-08,"B","2","3",2.5
2017-06-08,"B","2","4",1.9
2017-06-08,"B","2","5",1.7
2017-06-08,"B","2","6",2.1
2017-06-08,"B","2","7",1.8
2017-06-08,"B","3","1",1.9
2017-06-08,"B","3","2",2.1
2017-06-08,"B","3","3",2.1
2017-06-08,"B","3","4",1.8
2017-06-08,"B","3","5",2.2
2017-06-08,"B","3","6",2.2
2017-06-08,"B","3","7",2.5
2017-06-08,"B","4","1",2
2017-06-08,"B","4","2",1.5
2017-06-08,"B","4","3",1.8
2017-06-08,"B","4","4",2.2
2017-06-08,"B","4","5",2.2
2017-06-08,"B","4","6",1.9
2017-06-08,"B","4","7",2
2017-06-08,"B","5","1",1.8
2017-06-08,"B","5","2",2
2017-06-08,"B","5","3",2
2017-06-08,"B","5","4",1.9
2017-06-08,"B","5","5",1.7
2017-06-08,"B","5","6",2
2017-06-08,"B","5","7",2.1
2017-06-08,"B","6","1",2.5
2017-06-08,"B","6","2",2.3
2017-06-08,"B","6","3",2.2
2017-06-08,"B","6","4",2
2017-06-08,"B","6","5",2.2
2017-06-08,"B","6","6",2.8
2017-06-08,"B","6","7",2
2017-06-08,"B","7","1",1.1
2017-06-08,"B","7","2",1.7
2017-06-08,"B","7","3",1.5
2017-06-08,"B","7","4",1.9
2017-06-08,"B","7","5",1.5
2017-06-08,"B","7","6",1.1
2017-06-08,"B","7","7",1.6
2017-06-08,"B","8","1",3
2017-06-08,"B","8","2",2.9
2017-06-08,"B","8","3",2.3
2017-06-08,"B","8","4",1.8
2017-06-08,"B","8","5",1.9
2017-06-08,"B","8","6",1.5
