"date_time","date","day","field","harvest","hoppers","n_leaves","counter","plant"
2017-06-12 06:02:00,2017-06-12,8,"A","N",6,30,"E","6"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"W","7"
2017-06-12 06:02:00,2017-06-12,8,"A","N",2,30,"W","8"
2017-06-12 06:02:00,2017-06-12,8,"A","N",1,30,"E","9"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"E","10"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"W","1"
2017-06-12 06:17:00,2017-06-12,8,"B","N",1,30,"W","2"
2017-06-12 06:17:00,2017-06-12,8,"B","N",1,30,"W","3"
2017-06-12 06:17:00,2017-06-12,8,"B","N",2,30,"E","4"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"W","5"
2017-06-12 06:17:00,2017-06-12,8,"B","N",2,30,"W","6"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"E","7"
2017-06-12 06:17:00,2017-06-12,8,"B","N",2,30,"E","8"
2017-06-12 06:17:00,2017-06-12,8,"B","N",4,30,"E","9"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"E","10"
2017-06-13 06:22:00,2017-06-13,9,"A","N",7,30,"W","1"
2017-06-13 06:22:00,2017-06-13,9,"A","N",3,30,"W","2"
2017-06-13 06:22:00,2017-06-13,9,"A","N",0,30,"W","3"
2017-06-13 06:22:00,2017-06-13,9,"A","N",3,30,"E","4"
2017-06-13 06:22:00,2017-06-13,9,"A","N",1,30,"G","5"
2017-06-13 06:22:00,2017-06-13,9,"A","N",0,30,"E","6"
2017-06-13 06:22:00,2017-06-13,9,"A","N",0,30,"G","7"
2017-06-13 06:22:00,2017-06-13,9,"A","N",3,30,"G","8"
2017-06-13 06:22:00,2017-06-13,9,"A","N",2,30,"E","9"
2017-06-13 06:22:00,2017-06-13,9,"A","N",2,30,"E","10"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"E","1"
2017-06-13 06:12:00,2017-06-13,9,"B","N",2,30,"E","2"
2017-06-13 06:12:00,2017-06-13,9,"B","N",0,30,"W","3"
2017-06-13 06:12:00,2017-06-13,9,"B","N",3,30,"G","4"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"E","5"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"W","6"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"G","7"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"G","8"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"W","9"
2017-06-13 06:12:00,2017-06-13,9,"B","N",0,30,"G","10"
2017-06-14 06:10:00,2017-06-14,10,"A","N",4,30,"W","1"
2017-06-14 06:10:00,2017-06-14,10,"A","N",6,30,"W","2"
2017-06-14 06:10:00,2017-06-14,10,"A","N",3,30,"W","3"
2017-06-14 06:10:00,2017-06-14,10,"A","N",3,30,"E","4"
2017-06-14 06:10:00,2017-06-14,10,"A","N",2,30,"G","5"
2017-06-14 06:10:00,2017-06-14,10,"A","N",0,30,"G","6"
2017-06-14 06:10:00,2017-06-14,10,"A","N",1,30,"G","7"
